left_sku,right_sku,raw_pair_count,weighted_pair_count,support,cosine,jaccard,lift,selected_edge_weight,left_to_right_confidence,right_to_left_confidence
BLT33,HJW12,1,0.036253837189565576,3.118896896699002e-05,0.2800496180297207,0.14237447948296908,2514.6002306648675,0.2800496180297207,0.45806985379941484,0.17121359964660632
BLT33,lr11495,1,0.0004755693738138253,4.0912961472115023e-07,0.04820897094805643,0.0059521489178800185,5680.607798226938,0.04820897094805643,0.006008853418613496,0.3867800923003412
BLT37,CDC22,1,0.00045064956206284675,3.876912430723638e-07,0.14296247161451894,0.06033073829828429,52717.900275909175,0.14296247161451894,0.28832162020599666,0.07088704716465466
BLT37,CDC52,1,0.000186217405557771,1.602017698895147e-07,0.19724827110624973,0.09564199118057881,242861.73917577346,0.19724827110624973,0.11914025575705793,0.3265636808245624
BLT37,DFP20,1,0.00044914419531566296,3.863961846619573e-07,0.5360582989016732,0.2873584998213557,743688.7609870016,0.5360582989016732,0.2873584998213557,1.0
BLT37,DHW14,1,0.000186217405557771,1.602017698895147e-07,0.34516699691172376,0.11914025575705793,743688.7609870017,0.34516699691172376,0.11914025575705793,1.0
BLT37,DRH43,1,0.00045064956206284675,3.876912430723638e-07,0.06016220184975914,0.01217635013975631,9336.013118912702,0.06016220184975914,0.28832162020599666,0.012553656325963865
BLT37,FFC84,1,0.000186217405557771,1.602017698895147e-07,0.04072715200396595,0.012622928696330095,10353.823877839137,0.04072715200396595,0.11914025575705793,0.013922254067814402
BLT37,FXC32,1,0.0004769987901184776,4.1035933339985444e-07,0.5524306510464365,0.3051796242155897,743688.7609870016,0.5524306510464365,0.3051796242155897,1.0
BLT37,GGF02,1,0.0004769987901184776,4.1035933339985444e-07,0.2524393956191687,0.1415284052831648,155292.30913940698,0.2524393956191687,0.3051796242155897,0.2088135753635804
BLT38,DFP21,1,0.00019767068209269322,1.7005495824445265e-07,0.2593438713024702,0.06725924358215224,395514.7458003995,0.2593438713024702,0.06725924358215224,1.0
BLT38,DYW54,1,0.00019767068209269322,1.7005495824445265e-07,0.21984390033205353,0.06553306345881962,284210.12249307055,0.21984390033205353,0.06725924358215224,0.7185828733589116
BLT38,FGJ11,1,0.002741266355628419,2.3582957811857787e-06,0.33735338003504867,0.12094970782959737,48258.28207344216,0.33735338003504867,0.9327407564178478,0.12201386316402017
BMK93,GGM03,1,0.0004644852403443458,3.995939980359992e-07,0.17033726413766342,0.0924384239673858,72610.6590602249,0.17033726413766342,0.1909374022346403,0.15195966434197244
BMK93,GGM04,1,0.0004644852403443458,3.995939980359992e-07,0.17033726413766342,0.0924384239673858,72610.6590602249,0.17033726413766342,0.1909374022346403,0.15195966434197244
