sku,order_count,weighted_order_count,degree,weighted_degree
100721,2,0.14174292588675694,4,1.0345843871870721
100729,3,0.00781955225303968,21,12.385646591229493
100740,1,0.0004510456282643073,3,1.7595054805578276
100744,1,0.0029637156395870335,4,2.5860683092827523
100781,1,0.0027872424648795694,0,0.0
100783,1,0.0029637156395870335,4,2.5860683092827523
100796,2,0.032187648823827235,2,0.6447052203540998
100904,2,0.00891789035973867,7,2.716750507937181
100908,2,0.017979565457022114,5,1.401195761761411
101278,1,0.6998294850579543,2,1.6981611961157324
10199669,2,0.129883779369985,4,1.640772363284404
102-03020,4,1.1210538965915444,7,1.3784523258926213
102-13062,1,0.0004929442133286986,0,0.0
1023-62690,6,0.0024454540222970463,4,0.8493032570246357
1023-63021,2,0.0037332830067360657,2,1.3508817603244418
1026-63298,1,0.19374551701863818,0,0.0
1027-64109,1,0.8439228923743471,0,0.0
1031957,1,0.007694839855929096,0,0.0
1033-14706,1,0.02615249230124199,2,0.36539526139197276
1038-21053,1,0.0668186769293981,3,1.125047951569205
1038-21063,1,0.8986369348791146,0,0.0
1038-31001,1,0.4144590127878283,0,0.0
10390010001,1,0.05000947643883509,0,0.0
10390010002,2,0.06783444298147037,0,0.0
10390010013,2,0.021443941660145727,0,0.0
10390020003,2,0.005578217222302582,2,1.0599756390745207
10390020006,1,0.0037341684504929883,0,0.0
10390020012,2,0.016758386206607315,0,0.0
10390020013,2,0.4897058738010374,0,0.0
10390030011,2,0.008924914305358984,1,0.6939122527015297
10390040001,2,0.5942665293877643,0,0.0
10390040002,3,0.553902789994686,0,0.0
10390040012,1,0.023134592995657607,0,0.0
10390040013,3,0.25232233597370746,0,0.0
10390060008,1,0.40298865412333,0,0.0
10390060009,2,0.14276855675959169,1,0.2712406091102047
10390110002,1,0.04812488706344313,0,0.0
10390130021,2,0.859131818507772,1,0.040787509147602
10390140019,2,1.356343849362911,0,0.0
10390140021,2,0.9835989708722115,0,0.0
10390150003,1,0.01989582753150582,0,0.0
10390160005,2,0.23697203242704235,0,0.0
10390190003,1,0.01362727715713948,0,0.0
10390190004,2,0.24636897414560316,0,0.0
1040-20187,2,0.0002439029977207695,0,0.0
1040-23202,1,0.09257622192101424,0,0.0
1040-23207,1,0.03547335883182476,0,0.0
1040-23209,1,0.1449649614238232,0,0.0
1040-26478,2,0.5956225364531721,1,0.44916498504038965
10400040003,1,0.0017408627450156333,5,3.1229185634014036
10400040004,1,0.006421699287709622,0,0.0
104342528-V,1,0.47657055369213375,0,0.0
105005568,2,1.715680714267683,0,0.0
105312530,2,1.0890738867828076,4,2.662488967666939
106832436-O,1,0.8851677162454354,0,0.0
106832436-S,1,0.7745664317908001,1,0.6952504749527811
106832436-W,2,1.6024189902544113,1,0.6952504749527811
1080-08107,4,0.000775690216403054,2,0.741336098732318
1080-08191,6,0.0022469909254412314,17,6.0767591218920565
108118235,1,0.0022100214762435966,1,0.07860564586588886
108120701,1,0.006186327202435391,11,5.260903846289282
