node_index,node_id,node_type,node_value,embedding_00,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,embedding_08,embedding_09,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47
13,age::από 5 ετών,age,από 5 ετών,-0.011604695366147666,-0.26037467411261467,0.20017181944310927,0.1468600668758855,0.09585323437763325,0.06494940138607912,0.00892775338333848,-0.0015825861428028568,0.05304719456696619,0.07542636818548298,-0.041623080290147024,-0.026669626082848646,-0.11804448901566128,-0.06774913634872044,0.1796804457874274,0.05452597123982213,-0.07150575910679119,0.10670699621545854,0.04688015300589592,-0.045001722364951945,-0.017844614517959004,-0.2868216509379673,-0.18065401412985113,-0.1657604853767077,0.14946411532751,0.17188641411848787,-0.14947885461313276,0.13593600647809145,0.14201552563574257,-0.044386294854537156,-0.08091894278018723,0.21212925515634737,-0.08409796207123489,-0.22621445045944918,-0.022561700657807944,0.04940148302001173,0.052015313850817944,-0.0023947674702973773,0.2117473675854768,0.25396016570121654,-0.27220104201257134,0.015731775479340106,-0.08065908850275066,-0.2562952373478115,-0.2573716323145118,-0.07432631297641086,0.25396633784481704,0.0797944368511396
14,age::από 6 ετών,age,από 6 ετών,-0.0036832208880933975,-0.21933589350440444,0.11379451978742601,0.1837361038506452,0.1391906718468117,0.041151614690815255,0.025643338806227087,-0.01730233915918511,0.09939971624645977,0.01077507367297258,-0.049084894900316485,0.005621019963434768,-0.10448057515732301,-0.0725734311976541,0.16677846458255646,0.03534169119688408,-0.07095762895978494,0.10153763801851629,0.05710773097807038,-0.039939315924536374,-0.08517387243283621,-0.2908660060077468,-0.11706047028512813,-0.2364644184087924,0.1093400953206758,0.18760046320856325,-0.11741998965851684,0.14853285417707848,0.15402972897117437,-0.04506178679033818,-0.10277108027278131,0.24378254405781052,-0.16459195022702328,-0.19681444504772513,0.0048393488981356035,0.11257801956909756,0.027233857325585458,0.049137587543531334,0.2023355396151106,0.2729857030989292,-0.2191422243632124,0.013219454711382979,-0.09098701837275243,-0.2537222387707454,-0.24754313201147865,-0.11335914449272545,0.24631732747958063,0.11065646333379639
15,age::από 7 ετών,age,από 7 ετών,0.01919353957132939,-0.22324368370037398,0.13661510988100806,0.16881149456046465,0.10523835831826109,-0.02588087714018529,0.05159369107767776,-0.05620558877736597,0.0841820758816532,0.042764592998779626,-0.02840499715534538,-0.058704771575810014,-0.11252514057700445,-0.05619531883664733,0.1181711576375383,0.017220128868848973,-0.1125399153268024,0.08480962754490179,0.04200749106719242,-0.08730123429301453,-0.061536369237729066,-0.29144567292905865,-0.1416182193309895,-0.2279274334317626,0.09885103992848557,0.22541489714685445,-0.17320395835811314,0.15846502110379299,0.179163370309381,-0.0503744408905094,-0.11025888563329936,0.23647159685074115,-0.15876753017252868,-0.18959904497059082,-0.02903524231845484,0.07635907429736571,0.04987911677481235,0.07873692327845347,0.12420619108005032,0.23218386348418055,-0.20595686698779261,-0.02416572374255405,-0.09927212518292167,-0.2761872851459871,-0.25307401424879394,-0.09755111780100674,0.2841508512551861,0.06433466561069154
16,age::από 8 ετών,age,από 8 ετών,-0.0050078225415846975,-0.24880992848083153,0.12326898131105785,0.1738706992262559,0.1233120016737986,0.05908829260017102,0.03532993141038863,-0.0282295185768251,0.13414604307434289,0.05264650790819725,-0.012367759533779398,0.005784204982793771,-0.10154456960785976,-0.06076542283923787,0.1860091814769706,0.04662638127241371,-0.07253750749747297,0.11018257592518017,0.049734607922293325,-0.05007163044534707,-0.06822978682199582,-0.2884753342105721,-0.1672944043073393,-0.17720225811007354,0.08772585704748384,0.1760999671657948,-0.18379087366006194,0.08533072669180862,0.11622314341591353,-0.0219813175367399,-0.06313974925072127,0.2504489914966114,-0.17307401885560295,-0.21338104656151854,0.052516265797426284,0.08610524587287662,0.06479820427179897,0.006526358589286279,0.18604367229235683,0.2554810273757062,-0.20401958045238747,0.02125216275717659,-0.07259770647697766,-0.25393776404611446,-0.2553695895104506,-0.11200456784417283,0.27232986058272607,0.1285329863451135
17,age::από 9 ετών,age,από 9 ετών,-0.09467574554603615,-0.09070251474551724,0.05523342492217991,0.1472942976939589,-0.12729725500209876,0.03060049997967248,0.04881445841711379,0.09428352315424611,0.12077346410328524,-0.04431120143386109,-0.04521731795434732,-0.010528636044946036,0.13399409590185082,-0.10294606522616667,0.3039048034715808,0.026329942994205026,-0.013449016365553668,0.10977599378367431,0.13536492261564426,-0.06522435131283365,0.19055401302210725,-0.04675369247626866,-0.06832398559267615,-0.04256776363979456,-0.12318032873149824,0.1030531975625433,-0.07446606449526708,-0.25356950995235333,-0.004892366691935604,0.07706897909520527,-0.15159881046903584,0.3836409965991162,-0.3702622578817097,0.003347154142959692,-0.014428040292757358,-0.07747001943804911,0.10347454263349685,0.3005372391857216,0.043718764154723845,0.17749449204046897,0.02832505580771017,-0.05671538917217505,-0.14602589281116501,-0.013568417175496427,-0.07301609643813874,0.030183548692060115,0.339687650659115,-0.11346981730123355
18,age::από νεογέννητο,age,από νεογέννητο,-0.10300147395970911,-0.2268166603760916,0.2091617436911398,0.21270988936407587,0.09655358941918495,-0.00363740289683316,-0.0013201624053316772,-0.03071405972302997,0.15769497644225225,0.05233651673172557,-0.0371729347415267,-0.0595065630066689,-0.12492915525862952,-0.1013534216868295,0.2039667187774334,-0.02246956484415518,-0.010710469252488669,0.11225541877735767,0.08371618950157979,-0.052522681492051665,-0.1020522059634912,-0.24854928222434036,-0.1367894657696339,-0.17746517714170776,0.10511679699061015,0.1766628942890049,-0.1715161962416088,0.2061738163777661,0.08892575499364294,0.01327464657028535,-0.08286045684668261,0.2888341733714194,-0.2054220687096871,-0.23236494241012626,-0.0033215892518922607,0.0955597109135353,0.07396832150457609,-0.028370243470657152,0.09297588877705822,0.2516671437758892,-0.19375781972802542,-0.023921000487512164,-0.08776926423650973,-0.21138556387397336,-0.21479326307630164,-0.12601028041845538,0.1720571571668367,0.1224831925160912
19,brand::4m,brand,4m,0.04615103870769408,-0.24271207518975355,0.30421212073026654,0.18850715759036246,0.015598677113826362,-0.007270292618398925,-0.049200210712913806,-0.048295993936564065,0.11732522276549771,0.08275782335355698,-0.04481850230457824,0.04253895968412712,-0.2053961590390027,-0.23757775114671925,0.20403075650391195,0.1420530033270839,0.01233680523053888,0.09591701057304035,-0.03658123102415208,-0.050277841018647136,0.035763690217659926,-0.18833189700747827,-0.1713072080724367,-0.2658616095431328,0.11428183602912496,0.125380711298692,-0.09959079192016862,0.15270420154700093,0.1276810140395925,0.05801314777335897,-0.1365405036089793,0.13317934812098542,-0.15125672934871992,-0.19428370365253966,-0.039001594971644925,-0.06588993417037937,0.10419290381271078,-0.05821101201275837,0.2343702711658127,0.23491536857650308,-0.13821966569041752,0.005010133429454909,-0.05635711069926672,-0.1438785510154694,-0.23024862695124831,-0.03337072639106373,0.19304343941468396,0.1662921802212134
20,brand::a+g,brand,a+g,0.032302915959832035,0.20500110492750911,-0.2448214257578107,-0.21375220570343154,0.009371426906422956,-0.09680725692455606,0.05010695561952056,-0.037986937679632335,-0.0954705720234084,-0.07169639260498706,-0.03530685628075688,-0.05457850547739831,0.08053809567463116,0.1283971097747558,-0.1898495686069686,0.019423425912535708,0.08851308909944693,-0.12864456186143472,-0.033213989378164915,-0.04438550852018231,0.11127957832334945,0.27547866167212304,0.2289143030223289,0.07666429837462176,-0.16771810121599262,-0.11597539963588963,0.15342914240880665,-0.20523690661653862,-0.21775940319987278,0.0656445393570455,0.10932443047496151,-0.16855235923157866,0.16305150728902293,0.1613646251145601,0.08139237563501363,-0.09426962120351397,-0.05382060234726892,-0.11725615587931656,-0.11227999373400391,-0.2881532245863001,0.13280708792518026,-0.01136428415908101,-0.03904499031516203,0.18462847082834757,0.30013163626753614,0.06993795651501876,-0.17432556495018453,-0.16588495638566433
21,brand::abacus,brand,abacus,0.06660963675983264,0.2688432562181789,-0.1387119258411969,-0.0791235283789558,-0.09204696708644933,0.04974405631147072,-0.03875099350933488,-0.0691637437061182,-0.17656691139245867,-0.004624828574340079,0.041291953582753234,-0.012810987253945432,0.06363568677646247,0.08161413656569455,-0.05472811303553976,-0.06490583863418155,0.06994295279900099,-0.17102881958928087,-0.00038949067313298434,-0.033507290913507,0.19053794988555084,0.15452193099799016,0.20531929871978163,0.17062431754521665,0.021219289954725225,-0.08715794054375728,0.2289609554678658,-0.12892227734445388,-0.18572212415539907,0.0729797399800699,0.13181923380565863,-0.33294055794946065,0.1550477304058518,0.15572860176224188,-0.016655471958926322,-0.15672169362909177,-0.13284195560023757,-0.012438495150772515,-0.2576019814981747,-0.18355107650171323,0.26758855286991867,-0.10364928945821729,0.028652600401739604,0.14999855061163228,0.2024321192217503,0.0776919191687385,-0.27182735091212484,0.012740887694068788
22,brand::abero,brand,abero,0.20789131774521147,0.11807455373249805,-0.05730534118091906,-0.14749960134698903,-0.05590478291333679,-0.06452149932816909,-0.10446363565085597,-0.03983844257158844,-0.20631614149431748,0.1557391565347374,0.16301902991292044,-0.013556452365607671,-0.0487723652219831,0.1451588460647028,0.009203529150194217,0.07448281743508339,0.07882375211467338,0.10720624992606292,0.08141264274099333,0.12205786849267918,0.015328918173324945,0.2733386465055807,0.30583187010831414,0.13982448342121678,-0.2032507623673463,-0.06558872501183342,0.320242920314382,-0.0623608578534162,0.06051057173886263,0.17336111823562303,0.1612768349274606,-0.20022295160547685,0.1546851706720797,0.1676358647822902,-0.12258625063572437,-0.05581179553826862,-0.14968867504664235,-0.017693209724168817,-0.16494555379853104,-0.23902558864714032,0.08285325168201199,0.15585381655531433,0.20607807516559892,0.0049588087713866805,0.04713057814951736,-0.06599308962074175,-0.1353542259742129,0.14295048222791715
