weight_copurchase,weight_product2vec,weight_metadata,weight_text,k,candidate_k,evaluated_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,candidate_recall,catalog_coverage_at_k
0.2,0.1,0.4,0.3,10.0,100.0,76.0,0.035526315789473684,0.35526315789473684,0.35526315789473684,0.1650689223057644,0.5921052631578947,0.10923493850323118
0.3,0.4,0.2,0.1,10.0,100.0,76.0,0.035526315789473684,0.35526315789473684,0.35526315789473684,0.16129908103592314,0.5,0.10548259328747134
0.1,0.3,0.4,0.2,10.0,100.0,76.0,0.035526315789473684,0.35526315789473684,0.35526315789473684,0.15392126148705096,0.5657894736842105,0.10798415676464457
0.2,0.2,0.5,0.1,10.0,100.0,76.0,0.035526315789473684,0.35526315789473684,0.35526315789473684,0.14353070175438595,0.6052631578947368,0.10715030227225349
0.1,0.3,0.5,0.1,10.0,100.0,76.0,0.035526315789473684,0.35526315789473684,0.35526315789473684,0.1380482456140351,0.5789473684210527,0.10589952053366687
0.2,0.5,0.1,0.2,10.0,100.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.18212197159565582,0.42105263157894735,0.10444027517198248
0.5,0.3,0.1,0.1,10.0,100.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.17901524644945696,0.4868421052631579,0.10444027517198248
0.1,0.5,0.1,0.3,10.0,100.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.17611215538847116,0.4605263157894737,0.10444027517198248
0.2,0.5,0.2,0.1,10.0,100.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.16735588972431076,0.47368421052631576,0.10402334792578695
0.1,0.2,0.4,0.3,10.0,100.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.16405075187969925,0.5921052631578947,0.10798415676464457
0.1,0.6,0.1,0.2,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.17482769423558897,0.39473684210526316,0.10339795705649364
0.4,0.4,0.1,0.1,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.17152255639097744,0.4473684210526316,0.10444027517198248
0.1,0.1,0.5,0.3,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.15484022556390978,0.5526315789473685,0.1104857202418178
0.1,0.2,0.5,0.2,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.14705513784461152,0.6052631578947368,0.10860954763393788
0.2,0.1,0.5,0.2,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.14705513784461152,0.5789473684210527,0.10923493850323118
0.1,0.1,0.6,0.2,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.14699770258980785,0.5657894736842105,0.10923493850323118
0.1,0.1,0.7,0.1,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.1453529657477026,0.5657894736842105,0.10860954763393788
0.2,0.1,0.6,0.1,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.1453529657477026,0.5657894736842105,0.10819262038774234
0.1,0.2,0.6,0.1,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.1412593984962406,0.5921052631578947,0.10735876589535126
0.1,0.5,0.3,0.1,10.0,100.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.13303571428571428,0.5263157894736842,0.10652491140296018
0.1,0.1,0.4,0.4,10.0,100.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.17282268170426066,0.5526315789473685,0.10840108401084012
0.1,0.5,0.2,0.2,10.0,100.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.16308479532163742,0.5131578947368421,0.10485720241817803
0.1,0.6,0.2,0.1,10.0,100.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.1444235588972431,0.4473684210526316,0.1050656660412758
0.3,0.5,0.1,0.1,10.0,100.0,76.0,0.025,0.25,0.25,0.15712719298245614,0.39473684210526316,0.10673337502605795
0.2,0.6,0.1,0.1,10.0,100.0,76.0,0.02368421052631579,0.23684210526315788,0.23684210526315788,0.15021929824561406,0.39473684210526316,0.10589952053366687
0.1,0.7,0.1,0.1,10.0,100.0,76.0,0.019736842105263157,0.19736842105263158,0.19736842105263158,0.15350877192982457,0.3684210526315789,0.10631644777986242
