model,order_id,seed_sku,target_sku,held_out_basket_size,target_train_orders,popularity_segment,target_rank,hit_at_k,reciprocal_rank_at_k,target_in_candidates,target_in_retrieved_pool,retrieved_candidate_count,top_prediction,top_k_skus
fixed_40_10_10_40,52624,819-66880,DTJH27596,2,13,popular,165,0,0.0,0,1,1264,B5517,B5517 | 819-12946 | 819-34180 | 819-34150 | EN69734 | SUS1924 | 43574 | B4453 | 819-12590 | 819-06520
fixed_40_10_10_40,52634,DRH43,FPP82,2,3,medium,18,0,0.0,1,1,1244,BFH80,BFH80 | CDC22 | BLT37 | DYY41 | FBP42 | FVT24 | FXK48 | FPV17 | HGX01 | GMM41
fixed_40_10_10_40,52714,108517011,108517010,4,2,rare,1,1,1.0,1,1,1270,108517010,108517010 | 108215680 | 108182714 | 108120701 | 108187120 | 43574 | EK7070 | EGB56703 | BIC018 | 771-81391
fixed_40_10_10_40,52725,KON949658,KON949061,3,3,medium,5,1,0.2,1,1,1234,KON949801,KON949801 | KON942468 | UGD010069 | KON843864 | KON949061 | KON746837tn | KON746837mm | KON740958 | KON747032 | KON169490
fixed_40_10_10_40,52735,IT9002,IT9003,2,12,popular,1,1,1.0,1,1,1284,IT9003,IT9003 | lr08917 | 416/89003 | 243-40009 | HGB91 | IT8997 | IT8995 | ι18000 | 29.5867 | 29.2012-11
fixed_40_10_10_40,52740,G05426,16-03459,2,1,rare,63,0,0.0,1,1,1354,HJR70,HJR70 | HRB61 | 4-06018-BU | 4-06018-RE | GMT90 | PM70899 | HDX61 | GFV21 | DT30941 | 29.999-105
fixed_40_10_10_40,52746,MAP741817,EPF507-PI,3,1,rare,83,0,0.0,1,1,1284,ΚΟΡ20800,ΚΟΡ20800 | 128641041 | 0114439 | MAP844820 | MAP847010 | MAP832812 | MAP846710 | MAP845720 | MAP846715 | MAP844612
fixed_40_10_10_40,52748,IT16952,IT16951,2,138,popular,1,1,1.0,1,1,1303,IT16951,IT16951 | IT11214 | IT8905 | 237.617073 | 29.2129MI | IT09430 | IT91164 | IT11207 | IT6105 | DTDTS-3117
fixed_40_10_10_40,52778,IT16951,IT16952,2,46,popular,1,1,1.0,1,1,1309,IT16952,IT16952 | IT11214 | EN087229 | IT8905 | 237.617073 | IT9003 | IT09430 | IT11207 | IT91164 | IT6105
fixed_40_10_10_40,52790,CBL16,BLT33,2,10,medium,27,0,0.0,1,1,1292,FGG90,FGG90 | CGR95 | GPB30 | DRC00 | 23-23138-F | AV60767 | 50-855-75 | GXC64 | WT25520 | GFX87
fixed_40_10_10_40,52827,EN093013,4WD05-RED,2,1,rare,0,0,0.0,0,0,1276,EN093012,EN093012 | EN088996 | EN088997 | EN090977 | KON844205-d | EN088995 | PAN-12840 | W2087 | KON843376-d | KON842669
fixed_40_10_10_40,52833,Μ1-0-008,IT14104,2,2,rare,18,0,0.0,1,1,1284,334-35416,334-35416 | DT936837 | FO60702 | 231.39447 | 231.941688 | 0506007 | DT6674 | 341-41413 | 0562533 | 337-70413
fixed_40_10_10_40,52844,UGD010259,UGD010260,3,2,rare,2,1,0.5,1,1,1226,UGD010258,UGD010258 | UGD010260 | UGD010256 | UGD010253 | UGD010250 | UGD010255 | UGD010249 | UGD010251 | UGD010584 | UGD010894
